atc,name,dc_code,other_code
L01XC02,"rituximab                                                                                                                                                                                                                                                 ",C0024305,C3495801
L01XC02,"rituximab                                                                                                                                                                                                                                                 ",C0024305,C0334619
C10AC02,"colestipol                                                                                                                                                                                                                                                ",C0020473,C0342879
C10AC02,"colestipol                                                                                                                                                                                                                                                ",C0020473,C0020443
C10AC02,"colestipol                                                                                                                                                                                                                                                ",C0020443,C0342879
C10AC02,"colestipol                                                                                                                                                                                                                                                ",C0020443,C0020473
L01CB01,"etoposide                                                                                                                                                                                                                                                 ",C0153594,C0007131
L01CB01,"etoposide                                                                                                                                                                                                                                                 ",C0153594,C0149925
L01CB01,"etoposide                                                                                                                                                                                                                                                 ",C0149925,C0153594
L01CB01,"etoposide                                                                                                                                                                                                                                                 ",C0149925,C0007131
L01XE02,"gefitinib                                                                                                                                                                                                                                                 ",C1960925,C0007131
L01XE02,"gefitinib                                                                                                                                                                                                                                                 ",C1960925,C0278987
L01XE02,"gefitinib                                                                                                                                                                                                                                                 ",C0007131,C1960925
L01XE02,"gefitinib                                                                                                                                                                                                                                                 ",C0007131,C0278987
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0015230,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0024138,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0079773,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011616,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C3875321,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0406326,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0011615,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033775,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0036508,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0085074
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0033777,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0011616
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C3875321
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0406326
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0011615
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0033775
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0036508
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0033777
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0149922
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0085074,C0406317
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0149922,C0037274
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0149922,C0015230
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0149922,C0024138
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0149922,C0079773
C05AA11,"fluocinonide                                                                                                                                                                                                                                              ",C0149922,C0011616
